"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Carlos Vela","LAFC","2021","F","$4,500,000","$6,300,000","2021-09-30"
"","Chicharito","LAG","2021","F","$6,000,000","$6,000,000","2021-09-30"
"","Gonzalo Higuaín","MIA","2021","F","$5,100,000","$5,793,750","2021-09-30"
"","Alejandro Pozuelo","TOR","2021","M","$3,800,000","$4,693,000","2021-09-30"
"","Luiz Araújo","ATL","2021","F","$3,600,000","$3,941,670","2021-09-30"
"","Josef Martínez","ATL","2021","F","$3,500,000","$3,891,670","2021-09-30"
"","Jozy Altidore","TOR","2021","F","$2,161,250","$3,602,250","2021-09-30"
"","Rodolfo Pizarro","MIA","2021","M","$3,050,000","$3,350,000","2021-09-30"
"","Maximiliano Morález","NYC","2021","M","$2,500,000","$3,285,000","2021-09-30"
"","Victor Wanyama","MTL","2021","M","$2,400,000","$3,091,670","2021-09-30"
"","Carles Gil","NER","2021","M","$2,750,000","$3,045,830","2021-09-30"
"","Franco Jara","FCD","2021","F","$2,290,000","$2,977,000","2021-09-30"
"","Nicolás Lodeiro","SEA","2021","M","$2,120,000","$2,736,670","2021-09-30"
"","Robert Beric","CHI","2021","F","$2,275,000","$2,703,160","2021-09-30"
"","Sebastián Driussi","ATX","2021","F","$2,571,420","$2,688,420","2021-09-30"
"","Adrien Hunou","MIN","2021","F","$2,350,000","$2,587,700","2021-09-30"
"","Nani","ORL","2021","F","$2,333,330","$2,486,250","2021-09-30"
"","Gastón Giménez","CHI","2021","M","$2,058,000","$2,358,670","2021-09-30"
"","Ezequiel Barco","ATL","2021","M","$1,875,000","$2,358,330","2021-09-30"
"","Albert Rusnák","RSL","2021","M","$2,150,000","$2,351,670","2021-09-30"
"","Sebastián Blanco","POR","2021","M","$2,200,000","$2,313,330","2021-09-30"
"","Luciano Acosta","CIN","2021","M","$1,943,500","$2,222,850","2021-09-30"
"","Alan Pulido","SKC","2021","F","$2,200,000","$2,200,000","2021-09-30"
