First Name,Last Name,Team,Position,Unnamed: 4,Name,Name_ASA
Mikey,Ambrose,Atlanta United,D,Option,Mikey Ambrose,Mikey Ambrose
Alec,Kann,Atlanta United,GK,Option,Alec Kann,Alec Kann
Brooks,Lennon,Atlanta United,D,Option,Brooks Lennon,Brooks Lennon
Erick,Torres,Atlanta United,F,Option,Erick Torres,Erick Torres
Kekuta,Manneh,Austin FC,F,Option,Kekuta Manneh,Kekuta Manneh
Alexander,Ring,Austin FC,M,Option,Alexander Ring,Alexander Ring
Aaron,Schoenfeld,Austin FC,F,Option,Aaron Schoenfeld,
Ben,Sweat,Austin FC,D,Option,Ben Sweat,Ben Sweat
Francisco,Calvo,Chicago Fire,D,Option,Francisco Calvo,Francisco Calvo
Kellyn,Acosta,Colorado Rapids,M,Option,Kellyn Acosta,Kellyn Acosta
Kortne,Ford,Colorado Rapids,D,Option,Kortne Ford,
Nicolas,Mezquida,Colorado Rapids,M,Option,Nicolas Mezquida,Nicolas Mezquida
Andre,Rawls,Colorado Rapids,GK,Option,Andre Rawls,Andre Rawls
Saad,Abdul-Salaam,Columbus Crew,D,Option,Saad Abdul-Salaam,Saad Abdul-Salaam
Derrick,Etienne,Columbus Crew,M,Option,Derrick Etienne,Derrick Etienne
Waylon,Francis,Columbus Crew,D,Option,Waylon Francis,Waylon Francis
Marlon,Hairston,Columbus Crew,M-D,Option,Marlon Hairston,Marlon Hairston
Erik,Hurtado,Columbus Crew,F,Option,Erik Hurtado,Erik Hurtado
Josh,Williams,Columbus Crew,D,Option,Josh Williams,Josh Williams
Bradley,Wright-Phillips,Columbus Crew,F,Option,Bradley Wright-Phillips,Bradley Wright-Phillips
Jon,Kempin,DC United,GK,Option,Jon Kempin,Jon Kempin
Felipe,Martins,DC United,M,Option,Felipe Martins,Felipe
Andy,Najar,DC United,D,Option,Andy Najar,Andy Najar
Chris,Duvall,FC Cincinnati,D,Option,Chris Duvall,Chris Duvall
Nick,Hagglund,FC Cincinnati,D,Option,Nick Hagglund,Nick Hagglund
Ryan,Hollingshead,FC Dallas,D,Option,Ryan Hollingshead,Ryan Hollingshead
Darwin,Ceren,Houston Dynamo,M,Option,Darwin Ceren,Darwin Ceren
Maynor,Figueroa,Houston,D,Option,Maynor Figueroa,Maynor Figueroa
Fafa,Picault,Houston Dynamo,F,Option,Fafa Picault,Fafa Picault
Maximiliano,Urruti,Houston Dynamo,F,Option,Maximiliano Urruti,Maximiliano Urruti
Jay,Chapman,Inter Miami,M,Option,Jay Chapman,Jay Chapman
Kelvin,Leerdam,Inter Miami,D,Option,Kelvin Leerdam,Kelvin Leerdam
John,McCarthy,Inter Miami,GK,Option,John McCarthy,John McCarthy
Victor,Ulloa,Inter Miami,M,Option,Victor Ulloa,Victor Ulloa
Danilo,Acosta,LA Galaxy,D,Option,Danilo Acosta,Danilo Acosta
Oniel,Fisher,LA Galaxy,D,Option,Oniel Fisher,Oniel Fisher
Daniel,Steres,LA Galaxy,D,Option,Daniel Steres,Daniel Steres
Sebastien,Ibeagha,LAFC,D,Option,Sebastien Ibeagha,Sebastien Ibeagha
Fanendo,Adi,Minnesota United,F,Option,Fanendo Adi,Fanendo Adi
Juan,Agudelo,Minnesota United,F,Option,Juan Agudelo,Juan Agudelo
